sent_id,entity1,entity2,sent,processed_sent,label
TRAIN_SENT_ID_250014,张无忌,赵敏,殷姑娘 （ 周芷若 、 赵敏 、 小昭 、 张无忌 称 ）,殷姑娘  周芷若  人物二  小昭  人物一 称,1
TRAIN_SENT_ID_271143,彭丽媛,习近平,彭丽媛 一身 黑 双排 扣 风衣 配合 习近平 的 造型 ， 深色 的 整身 造型 用 丝巾 点亮 ， 简约 而 典雅 。,人物一 一身 黑 双排 扣 风衣 配合 人物二 造型  深色 整身 造型 丝巾 点亮  简约 典雅,1
TRAIN_SENT_ID_270532,关平,关羽,西殿 祀 关羽 ， 附祀 关平 、 周苍 。,西殿 祀 人物二  附祀 人物一  周苍,-1
TRAIN_SENT_ID_277091,浦安修,彭德怀,彭德怀 看到 浦安修 被 蹂躏 得 失去 形体 ， 心如刀绞 ， 发疯 似的 呼喊 ： “ 你们 打 我 吧 ！,人物二 看到 人物一 蹂躏 失去 形体  心如刀绞  发疯 呼喊,1
TRAIN_SENT_ID_274747,龙啸云,林诗音,李寻欢 之 表妹 ， 亦 是 他 青梅竹马 的 恋人 ， 但 李 为了 结拜 大哥 龙啸云 ， 将 林诗音 “ 送 ” 给 了 龙 ， 悲剧 由此 引发 … …,李寻欢 表妹  青梅竹马 恋人  李 结拜 大哥 人物一  人物二  送  龙  悲剧 引发,1
TRAIN_SENT_ID_262045,李纨,贾兰,李纨 的 “ 晚 韶华 ” 与 贾兰 的 “ 虚名 儿,人物一  晚 韶华  人物二  虚名,-1
TRAIN_SENT_ID_263815,刘嘉玲,梁朝伟,梁朝伟 、 刘德华 、 刘嘉玲,人物二  刘德华  人物一,1
TRAIN_SENT_ID_254194,邢夫人,贾赦,于是 惊动 了 众人 ， 连 贾赦 、 邢夫人 、 贾珍 、 贾政 并琏 、 蓉 、 芸 、 萍 、 薛姨妈 、 薛蟠,惊动 众人  人物二  人物一  贾珍  贾政 并琏  蓉  芸  萍  薛姨妈  薛蟠,1
TRAIN_SENT_ID_279459,郭啸天,李萍,祖父母 ： 郭啸天 、 李萍,祖父母  人物一  人物二,1
TRAIN_SENT_ID_252148,查美乐,韩以烈,查美乐 凭 的 就是 这种 不怕 打击 ， 绝不 后退 的 执着 精神 ， 最终 赢得 了 少爷 脾气 的 韩以烈 。 ”,人物一 这种 打击  绝不 后退 执着 精神  最终 赢得 少爷 脾气 人物二,1
TRAIN_SENT_ID_255611,蒋介石,宋美龄,马馼 一行 先后 参观 了 综合 陈列馆 （ 国民政府军事委员会 侍从 室 旧址 ） 、 松厅 （ 宋美龄 别墅 ） 、 云岫楼 （ 蒋介石 官邸 ） 等 抗战 遗址 。,马馼 一行 先后 参观 综合 陈列馆  国民政府军事委员会 侍从 室 旧址   松厅  人物二 别墅   云岫楼  人物一 官邸  抗战 遗址,1
TRAIN_SENT_ID_277228,张茜,张卫健,09 . 我要 轻闲 ( 鹿鼎记 / 小宝 与 康熙 插曲 ) _ 张卫健 张茜,我要 轻闲  鹿鼎记  小宝 康熙 插曲   人物二 人物一,1
TRAIN_SENT_ID_270674,赵宏博,申雪,第九十 一期 ： 申雪 、 赵宏博 2010083012 : 30,第九十 一期  人物二  人物一,1
TRAIN_SENT_ID_277212,张茜,张卫健,我要 轻闲 – 张茜 / 张卫健 （ 《 小宝 与 康熙 》 插曲 ）,我要 轻闲  人物一  人物二   小宝 康熙  插曲,1
TRAIN_SENT_ID_273307,秦香莲,陈世美,包公 不顾 阻挠 ， 铡 死 了 陈世美 ， 为 秦香莲 伸 了 冤 。,包公 不顾 阻挠  铡 死 人物二  人物一 伸 冤,1
TRAIN_SENT_ID_268506,潘金莲,武大郎,潘金莲 （ 夜观 AV 的 小弟 ， 武大郎 的 追求者 ）,人物一  夜观  小弟  人物二 追求者,1
TRAIN_SENT_ID_277474,余鱼同,李沅芷,李沅芷 伏 地 哭泣 ， 余鱼同 扶 她 上马 。,人物二 伏 哭泣  人物一 扶 上马,1
TRAIN_SENT_ID_253714,申雪,赵宏博,用同 一双 翅膀 飞 — — 申雪 、 赵宏博,用同 一双 翅膀 飞   人物一  人物二,1
TRAIN_SENT_ID_262868,熊美玲,林秋离,No.177 诚实 心 林秋离 熊美玲 大学城 、 蓝丽 婷,诚实 心 人物二 人物一 大学城  蓝丽 婷,1
